0	0	0	0	0.00024539	0.00073703	0.00069223	0.00341881	0.00692175	0.00994931	0.0174155	0.02959938	0.04572951	0.06650554	0.09881144	0.13023671	0.14828228	0.1391407	0.11917632	0.09107848	0.05428733	0.02521939	0.00875723	0.00276051	0.00076134	0.0002738	0	0	0	0
0	0	0	0.00003288	0.00027321	0.00011004	0.00136305	0.00256246	0.00384144	0.00510231	0.01466232	0.02222292	0.03446706	0.05222327	0.08077987	0.10506097	0.13387252	0.12495323	0.12336628	0.1069223	0.08491396	0.05732223	0.03071815	0.01204222	0.00302687	0.00016044	0	0	0	0
0	0	0.00012187	0	0.00056678	0.00147375	0.0024588	0.00432999	0.00624305	0.00913153	0.01368257	0.02242568	0.02869514	0.04926055	0.07210398	0.11367612	0.14037711	0.14969795	0.13573034	0.10454517	0.07033503	0.04000168	0.02276852	0.00811439	0.00288422	0.00043354	0.00022185	0.00038802	0.00016617	0.00016617
0	0	0	0	0.00005931	0.00047626	0.00117379	0.00209247	0.00354378	0.01243914	0.02021517	0.02582677	0.04792094	0.06104885	0.06138185	0.09541452	0.10787791	0.12022313	0.14784714	0.11972063	0.0841485	5.12E-02	0.02237063	0.01010284	0.00396973	0.0005365	0.00016494	0	0.00012102	0.00007884
0	0	0	0	0	0.00024085	0.00094306	0.00298579	0.00532827	0.010625	0.02098721	0.03377342	0.05435965	0.08274989	0.10124765	0.10797542	0.13459618	0.13191703	0.11594789	0.09965005	0.05315788	0.0281374	0.01090282	0.00284638	0.00127007	0.00035743	0	0	0	0
0	0	0.00039625	0	0	0	0	0	0.00040011	0.00186976	0.00434789	0.0129788	0.02518283	0.04287784	0.05717707	0.10037911	0.14078365	0.14303968	0.15123416	0.11349638	0.09635585	0.05501688	0.03293506	0.01464915	0.00627546	0.00058268	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.00227469	0.01631145	0.02344489	0.06296865	0.08404607	0.1298982	0.21118132	0.222002	0.16162477	0.05594442	0.02424542	0.00382184	0.00144766	7.24E-04	0	0	0	0
0	0	0	0	0	0.00042122	0.00111252	0.00274667	0.00324935	0.00235557	0.00188954	0.00486387	0.00888482	0.02087393	0.0502942	0.07637059	0.11463211	0.16530126	0.18700295	0.16730191	0.10288649	0.05281848	0.02411525	0.00926368	0.00219468	0.00071063	0.00057126	0.00011926	0	0
0	0	0	0	0.00007908	0.00019276	0.00038711	0.00104533	0.00154385	0.00206858	0.00353812	0.0076337	0.0223611	0.03681929	0.06308885	0.12366204	0.17984219	0.20136535	0.15830951	0.09644066	0.05705666	0.02563008	0.01278736	0.00377946	0.00186619	0.00024913	0.00022703	0.00002261	0	0
0	0	0	0	0	0.0008989	0	0	0	0.00045848	0.00117273	0.00817279	0.01472522	0.02818035	0.13291572	0.23854725	0.220366	0.20462003	0.08427093	0.03891435	0.02120997	0.0046371	0.00091017	0	0	0	0	0	0	0
0.0000	0.0001	0.0019	0.0016	0.0063	0.0049	0.0114	0.0100	0.0116	0.0156	0.0207	0.0334	0.0473	0.0819	0.1191	0.1602	0.1545	0.1275	0.0969	0.0576	0.0270	0.0091	0.0013	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0	0	0.00002302	0.00042596	0.00264699	0.00523506	0.00965095	0.00809378	0.00761695	0.00977230	0.01009632	0.01297240	0.02166250	0.04640239	0.08150545	0.13827709	0.16217868	0.17356765	0.13626773	0.10085044	0.05349692	0.01497134	0.00280561	0.00111311	0.00033983	0	0	0	0
# Crucero Machos																												
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.000143534	0	0.002153007	0.003444811	0.006889623	0.006459021	0.006602555	0.007750825	0.016649921	0.035739917	0.073058705	0.094445242	0.104779676	0.112243433	0.096598249	0.072628104	0.067173819	0.049949763	0.030859767	0.031146835	0.025979618	0.02454428	0.027989091	0.021960672	0.014927515	0.014783982	0.013635711	0.009903832	0.005454284	0.004449548
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.000746269	0.003731343	0.010074627	0.010820896	0.013432836	0.026119403	0.058955224	0.085820896	0.100746269	0.106716418	0.094776119	0.089925373	0.117537313	0.114179104	0.090671642	0.043283582	0.021268657	0.008955224	0.000746269	0.000746269	0	0.000373134	0	0.000373134	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.000223647	0.000820039	0.001043686	0.001863724	0.004547488	0.005963918	0.012673326	0.020500969	0.034367079	0.074027136	0.090800656	0.120322052	0.145370508	0.128671537	0.162964067	0.095869987	0.060533771	0.025197555	0.009393171	0.003205606	0.00074549	0.000223647	0.000223647	0	7.45E-05	0.000149098	0	0.000149098
0	0	0	0	0.00037831	0.00037831	0.002774275	0.006179067	0.013240858	0.021815889	0.038461538	0.062925599	0.097730139	0.126103405	0.142496847	0.15813367	0.145901639	0.09445145	0.048928121	0.020302648	0.008575032	0.002017654	0.000882724	0.001008827	0.00037831	0.000630517	0.001261034	0.001134931	0.000882724	0.001134931
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.000155135	0.00031027	0.00217189	0.006515669	0.008997828	0.019857276	0.027924294	0.053056159	0.080825318	0.119764195	0.132950667	0.145516599	0.137604716	0.110145827	0.082686938	0.048557245	0.015978902	0.004809184	0.002016755	0.000155135	0	0	0	0	0	0
0	0	0	0	0.000154645	0	0.000851373	0.003928188	0.009104656	0.020095859	0.042617642	0.072789759	0.094365038	0.122079069	0.158786244	0.155551327	0.129247885	0.098317272	0.054824211	0.025791867	0.008805436	0.001888049	7.03E-05	0.000137212	0.000233545	0	0	0	0.000180194	0
0	0	0	0	0	0	0.000324359	0.001135258	0.002108336	0.006973727	0.022380798	0.051735323	0.100227052	0.14352903	0.166396367	0.158611742	0.134771327	0.097956536	0.058222511	0.031300681	0.017677587	0.004541031	0.001783977	0.000324359	0	0	0	0	0	0
0	0	0	0	0.000183824	0.000367647	0.001470588	0.000919118	0.002022059	0.004227941	0.008639706	0.017647059	0.039889706	0.088786765	0.159375	0.190808824	0.174264706	0.136764706	0.081801471	0.046139706	0.023345588	0.011029412	0.007169118	0.003125	0.001286765	0.000367647	0.000367647	0	0	0
0	0	0	0	0	0.000195541	0.000350563	0.001753244	0.002187432	0.006194887	0.009795008	0.018577369	0.029262431	0.041311387	0.055428964	0.072483787	0.112829815	0.159848313	0.170862309	0.140423629	0.097629705	0.050504048	0.020406641	0.007003733	0.002228265	0.000652997	6.99E-05	0	0	0
0	0	0	0	0	0.000243686	0.000779797	0.002692736	0.006287111	0.015742147	0.028023946	0.049127196	0.070141094	0.098364051	0.147186639	0.171494367	0.170962318	0.120405494	0.071302667	0.030505487	0.012306168	0.003651236	0.000649831	0.000134028	0	0	0	0	0	0
0	0	0	0	0.000442527	0.001216949	0.003761478	0.007412324	0.012390751	0.021462551	0.035180883	0.052328797	0.084190729	0.13286868	0.144927536	0.155437548	0.143931851	0.09724527	0.063723863	0.0272154	0.010731276	0.004093373	0.000995685	0.000331895	0.000110632	0	0	0	0	0
0	0	0	0	0	0.000253258	0.001152272	0.002760625	0.008570099	0.017988311	0.036476951	0.068064791	0.105970788	0.121114777	0.144658838	0.135496205	0.147691287	0.085218448	0.066902	0.038216962	0.014679552	0.002913168	0.001507174	0.000364494	0	0	0	0	0	0
0	0	0.000169176	0	0.000507528	0.001353409	0.002030113	0.004567755	0.013026561	0.020639486	0.039079682	0.059888344	0.085772289	0.11182541	0.124851971	0.149044155	0.138893588	0.112332939	0.070038911	0.0417865	0.017255963	0.003721874	0.001691761	0.000338352	0.000338352	0.000338352	0.000169176	0.000169176	0.000169176	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# Crucero Hembras																												
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00E+00	0.00E+00
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0.000292369	0.001266933	0.001851671	0.003216061	0.005555014	0.008965988	0.018224345	0.036935971	0.05827892	0.091414092	0.105837638	0.117045122	0.094337784	0.086931098	0.075528701	0.062177176	0.057596725	0.046779066	0.037520709	0.029821655	0.01861417	0.015982848	0.010622746	0.007601598	0.003703343	0.001754215	0.001266933
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.001139138	0.003091945	0.007160293	0.008950366	0.008624898	0.013018714	0.019365338	0.032384052	0.043124491	0.055655004	0.063466233	0.068510985	0.073393002	0.100244101	0.123026851	0.122701383	0.090968267	0.06086249	0.038567941	0.025711961	0.018877136	0.010089504	0.006834825	0.002766477	0.001139138	0.000325468	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.27E-04	0	6.34E-05	0.000761276	0.001015035	0.001141915	0.002537588	0.004440779	0.00628053	0.011482586	0.016684641	0.035399353	0.04669162	0.070418068	0.087102709	0.092114445	0.121994544	0.110321639	0.112542029	0.094207955	0.064391296	0.071623422	0.026264036	0.014337372	0.005328935	1.90E-03	5.71E-04	0.000126879	6.34E-05	0
0	0	0	0.000194288	0.000194288	0.00097144	0.002331455	0.006702934	0.011657276	0.013600155	0.021274529	0.026908879	0.042646202	0.069166505	0.082960948	0.102486886	0.131824364	0.147075967	0.117349913	0.088983874	0.070623664	0.037886147	0.017777346	0.005051486	0.001554303	0.000388576	0.000194288	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.000248416	0.000248416	0.000745249	0.001490498	0.003477829	0.005589368	0.009936654	0.015153397	0.021239598	0.023599553	0.03328779	0.058005217	0.085331015	0.129921749	0.138864737	0.134765868	0.111911564	0.085206807	0.063718793	0.041982362	0.020121724	0.010309278	0.003477829	0.000621041	0.000124208	0.000248416	0.000248416	0
0	0	0	0	0.000121152	0.000557841	0.001612065	0.003318438	0.00996638	0.01603988	0.026059478	0.037830541	0.050012863	0.069453361	0.087531988	0.119185538	0.142162053	0.130887842	0.108231103	0.083496292	0.059106689	3.25E-02	1.56E-02	0.004045586	0.001483495	0.000196387	0.000374053	0.000174134	0	5.49E-05
0	0	0	0	0.000143184	0	0	0.000572738	0.000859107	0.005297824	0.012886598	0.0284937	0.048109966	0.075744559	0.109392898	0.127147766	0.123568156	0.129581901	0.114404353	0.092067583	0.061282932	0.038373425	0.020475372	0.008591065	0.002004582	0.000572738	0.000286369	0.000143184	0	0
0	0	0	0	0	0.000426743	0.001422475	0.001564723	0.002133713	0.00284495	0.005547653	0.010526316	0.025320057	0.048079659	0.09658606	0.149359886	0.153627312	0.149359886	0.113655761	0.089331437	0.06230441	0.03769559	0.025746799	0.012375533	0.006827881	0.003698435	0.00113798	0.000426743	0	0
0	0	0	0	0	0.00008	0.00004	0.00038	0.00046	0.00352	0.00727	0.01851	0.03805	0.06818	0.11133	0.14173	0.16273	0.15177	0.11943	0.07168	0.05176	0.02873	0.01496	0.00676	0.00223	2.90E-04	1.10E-04	0	0	0
0	0	0	0	0	5.92E-05	0.000126338	0.001006759	0.001918764	0.005025899	0.010975648	0.016499005	0.029357885	0.052848931	0.093995768	0.128312435	0.154180222	0.150303212	0.130223303	0.106594075	0.061589969	0.032311045	0.017182022	0.005993178	0.001073876	0.000138183	0.000284261	0	0	0
0	0	0	8.74E-05	0.000262123	0.000524246	0.002446483	0.004543469	0.006989952	0.012145042	0.017824377	0.025163827	0.040192224	0.065530799	0.097684578	0.116732197	0.128877239	0.135430319	0.130362604	0.106509393	0.0617737	0.030056793	0.0109218	0.004193971	0.000961118	0.000436872	0.000174749	8.74E-05	8.74E-05	0
0	0	0	0	0	9.01E-05	0.000313171	0.002157293	0.003626904	0.009656231	0.020625899	0.039415667	0.064093043	0.080461114	0.112390182	0.105620056	0.155609844	0.127316376	0.10582864	0.074467863	0.054421182	0.027721653	0.010566718	0.004281918	0.000937514	0.000356533	0	4.21E-05	0	0
0	0	0	0.000208442	0.000937989	0.002397082	0.003751954	0.005419489	0.009588327	0.014590933	0.01980198	0.028243877	0.042209484	0.064512767	0.086607608	0.100990099	0.11974987	0.126107348	0.117978114	0.099322564	0.076810839	0.043668577	0.021886399	0.009588327	0.002918187	0.001042209	0.000416884	0.000625326	0.000104221	0.000521105
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# Madurez Sexual																													
2.03991E-05	4.44545E-05	9.68742E-05	0.000211093	0.000459919	0.001001755	0.00218054	0.004739844	0.010272086	0.022117941	0.046976146	0.097001014	0.189693955	0.337825416	0.526475215	0.707857271	0.840774225	0.920048045	0.961653834	0.982031444	0.991673907	0.996162159	0.998235285	0.999189461	0.999627909	0.999829226	0.999921631	0.999964038	0.999983498	0.999992428
# Pesos_m																													
0.50117278 	0.64898226 	0.82245674 	1.02346099 	1.25383618 	1.51540187 	1.80995776 	2.13928514 	2.50514823 	2.90929524 	3.35345942 	3.83935996 	4.36870271 	4.94318100 	5.56447619 	6.23425830 	6.95418657 	7.72590989 	8.55106731 	9.43128841 	10.36819372 	11.36339504 	12.41849580 	13.53509135 	14.71476925 	15.95910955 	17.26968503 	18.64806145 	20.09579774 	21.61444627
# Pesos_h																													
0.41960934 	0.55673639 	0.72145287 	0.91642953 	1.14436044 	1.40796138 	1.70996851 	2.05313723 	2.44024109 	2.87407086 	3.35743375 	3.89315258 	4.48406515 	5.13302359 	5.84289382 	6.61655498 	7.45689899 	8.36683009 	9.34926439 	10.40712953 	11.54336432 	12.76091834 	14.06275170 	15.45183469 	16.93114753 	18.50368008 	20.17243161 	21.94041057 	23.81063432 	25.78612897


# CONTROLES DEL MODELO CAMARON NORTE

# Coeficiente de variación de los desvios Rt, No y prop_machos en el Reclutamiento
#_________________________________________________________________________________
#  cv_Rt     cv_No     cv_Rm
   0.6        0.6      0.2

#  dt desove   dt CPUE	 dt_crucero	
   0.67         0.5        0.5

# PARAMETROS DE CRECIMIENTO Y MORTALIDAD NATURAL Y CV (prior)
#_________________________________________________________________________________

#Loo,   k,        Lt(a=1)    cv(edad)     M
40.7    0.19      12.3      0.1         0.36    #machos
48.3    0.17      11.2      0.1         0.36    #hembras 
0.1     0.1        0.1       0.1         0.1     #cv prior si son estimados


# Stepness h
1


# q_crucero y cv
1.0   0.1


# Selectividad flota (valores de partida)
# proxy A50 (tallas), s1 y s2  machos
23    3    50

# proxy A50 (tallas), s1 y s2  hembras
23     3    50


# Penalizador modelo logistico/domo (ej. 0.1= domo, 100=logistico)
#0.50
100
#########################################################################
# Número de bloques de selectividad FLOTA y años de inicio

#2
#1978 1993 

#3
#1961 1978 2008

1
1961

#########################################################################
# Número de bloques de selectividad CRUCEROS y años de inicio
1
1961 

#########################################################################
# Número de bloques de capturabilidad CPUE y años de inicio (qf)
#3
#1978 2008 2011
1
1961
#########################################################################

# Número de bloques de capturabilidad crucero y años de inicio (qc)
2
1961 2004
#########################################################################

#_________________________________________________________________
# FASES DE ESTIMACION 

# Fase de estimacion de capturabilidad flota & crucero
5 4
# Fase estimación de la selectividad flota & crucero (nota: si la selec. crucero no se estima, se asume = 1)
6  
# Fase de estimacion de Lo & cv & M
-4  4 -4
# Fase de estimacion mortalidad por pesca
3 
# Fase de estimacion dev_Rt y dev_No (dev_No<0 equilibrio)
2  2
# Fase de estimacion proporcion de machos en el Reclutamiento (pRm)
-6
# Fase de estimacion Fpbr (se sugiere sea la ultima)
7


# CTP
#____________________________________________________
#numero de PBRs a calcular
5
 #100%            #30%    40%    45%     48% (tasas de BDPR) 
0.99999999   0.30    0.40   0.45    0.48	

# Años a simular en el futuro
20

# Opción para simular o estimar (0=simula, 1=estima)
#____________________________________________________
1
